län;uppräknat_belopp;förstärkning_belopp;totalt
Blekinge;246000;700000;28200000
Dalarna;391000;400000;44100000
Gotland;251000;400000;28500000
Gävleborg;453000;;50700000
Halland;34600;;38700000
Jämtland Härjedalen;371000;;41500000
Jönköping;412000;400000;46500000
Kalmar;351000;300000;39600000
Kronoberg;352000;;39400000
Norrbotten;508000;;56900000
Skåne;;;240000000
Sörmland;319000;700000;36400000
Uppsala;430000;;48000000
Värmland;575000;200000;36400000
Västerbotten;786000;;88000000
Västernorrland;506000;;56600000
Västmanland;336000;;37500000
Västra Götaland;;;376000000
Örebro;434000;300000;48900000
Östergötland;778000;;87200000
Stockholm;942000;;107500000
